ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
5702,39,blue-collar,married,unknown,no,0,yes,no,unknown,26,may,470,1,-1,0,unknown
33330,59,management,married,tertiary,no,287,yes,no,cellular,20,apr,818,2,242,8,failure
22357,46,housemaid,single,tertiary,no,1328,no,no,cellular,22,aug,1241,2,-1,0,unknown
10518,47,blue-collar,divorced,primary,no,7,no,yes,unknown,16,jun,219,7,-1,0,unknown
17096,36,management,married,tertiary,no,909,yes,yes,cellular,25,jul,250,3,-1,0,unknown
43876,56,admin.,married,secondary,no,699,no,no,unknown,7,jun,54,1,-1,0,unknown
16970,53,housemaid,married,secondary,no,559,yes,no,telephone,25,jul,182,1,-1,0,unknown
29949,37,services,single,secondary,no,1045,no,no,cellular,4,feb,301,1,-1,0,unknown
13281,30,self-employed,married,secondary,no,57,no,yes,cellular,8,jul,55,2,-1,0,unknown
8266,36,blue-collar,married,secondary,no,63,yes,no,unknown,2,jun,56,8,-1,0,unknown
15089,31,blue-collar,single,primary,no,528,yes,no,cellular,17,jul,143,1,-1,0,unknown
20091,54,technician,divorced,secondary,no,221,no,no,cellular,11,aug,413,2,-1,0,unknown
17458,36,management,single,tertiary,no,13315,no,no,cellular,28,jul,43,8,-1,0,unknown
10378,47,housemaid,divorced,secondary,no,1453,no,no,unknown,12,jun,303,1,-1,0,unknown
27033,32,admin.,single,secondary,no,2817,yes,no,cellular,21,nov,195,1,-1,0,unknown
29228,35,services,married,secondary,no,630,yes,no,cellular,2,feb,134,1,271,2,failure
9839,45,technician,married,primary,no,-322,no,no,unknown,9,jun,225,2,-1,0,unknown
2477,45,technician,married,secondary,no,639,yes,no,unknown,13,may,192,1,-1,0,unknown
20206,53,services,married,secondary,no,1242,no,no,cellular,11,aug,168,2,-1,0,unknown
10782,59,retired,married,primary,no,0,no,no,unknown,17,jun,192,1,-1,0,unknown
25825,44,management,divorced,secondary,no,0,yes,no,telephone,19,nov,319,1,-1,0,unknown
20256,45,technician,married,tertiary,no,548,no,no,cellular,11,aug,108,4,-1,0,unknown
1317,44,blue-collar,single,secondary,no,36,yes,no,unknown,8,may,712,1,-1,0,unknown
38949,47,technician,married,secondary,no,179,yes,no,cellular,18,may,55,1,-1,0,unknown
35365,25,admin.,single,secondary,no,122,yes,no,cellular,7,may,481,2,-1,0,unknown
22834,59,retired,married,primary,no,255,no,yes,cellular,25,aug,62,6,-1,0,unknown
988,42,entrepreneur,married,tertiary,no,157,yes,yes,unknown,7,may,650,1,-1,0,unknown
16241,46,management,married,tertiary,no,99,yes,no,cellular,23,jul,569,1,-1,0,unknown
30947,40,entrepreneur,divorced,secondary,no,201,yes,no,cellular,9,feb,25,2,-1,0,unknown
24402,39,management,single,primary,no,0,yes,yes,cellular,17,nov,62,1,-1,0,unknown
42898,28,services,single,secondary,no,1059,no,no,cellular,4,feb,146,5,276,1,other
30794,30,blue-collar,single,secondary,no,522,no,no,cellular,6,feb,197,3,-1,0,unknown
31755,54,blue-collar,married,secondary,no,5521,yes,no,cellular,7,apr,581,2,-1,0,unknown
41412,32,admin.,married,secondary,no,995,no,no,cellular,3,sep,331,1,99,2,other
22497,49,admin.,married,secondary,no,682,no,no,cellular,22,aug,86,4,-1,0,unknown
40939,30,unemployed,single,tertiary,no,1159,no,no,cellular,12,aug,95,1,68,1,success
4834,34,technician,single,secondary,no,1161,yes,no,unknown,21,may,192,1,-1,0,unknown
32014,59,blue-collar,married,primary,no,11066,no,no,telephone,14,apr,86,6,-1,0,unknown
13584,33,admin.,married,secondary,no,0,yes,yes,cellular,9,jul,160,1,-1,0,unknown
14004,29,blue-collar,single,secondary,no,482,no,yes,cellular,10,jul,1097,3,-1,0,unknown
4204,20,student,single,secondary,no,67,yes,no,unknown,19,may,387,1,-1,0,unknown
20358,50,blue-collar,married,primary,no,0,no,no,cellular,11,aug,72,5,-1,0,unknown
1938,29,blue-collar,married,primary,no,608,yes,no,unknown,9,may,184,2,-1,0,unknown
39385,39,technician,married,secondary,no,2266,no,no,cellular,22,may,86,1,93,4,success
26264,33,blue-collar,married,primary,no,0,yes,no,cellular,20,nov,173,1,-1,0,unknown
24359,46,management,single,tertiary,no,46,no,yes,cellular,17,nov,80,1,152,1,failure
25605,32,unemployed,single,tertiary,no,1611,yes,no,cellular,19,nov,175,1,180,2,failure
6306,25,technician,married,unknown,no,776,yes,no,unknown,27,may,290,1,-1,0,unknown
34217,36,technician,married,tertiary,no,911,yes,yes,cellular,4,may,275,3,-1,0,unknown
30533,31,blue-collar,married,primary,no,1738,no,no,telephone,5,feb,895,3,-1,0,unknown
13893,28,admin.,single,secondary,no,-170,no,yes,cellular,10,jul,720,2,-1,0,unknown
21255,60,blue-collar,married,secondary,no,3122,no,no,telephone,18,aug,51,12,-1,0,unknown
3318,54,entrepreneur,married,secondary,no,653,yes,no,unknown,15,may,352,1,-1,0,unknown
18406,41,blue-collar,married,secondary,no,4900,yes,no,telephone,31,jul,121,2,-1,0,unknown
35176,24,services,single,secondary,no,14,yes,no,cellular,7,may,241,1,-1,0,unknown
876,32,blue-collar,divorced,primary,no,473,yes,no,unknown,7,may,204,2,-1,0,unknown
39785,34,admin.,single,secondary,no,528,no,no,cellular,1,jun,165,1,124,1,other
28104,30,technician,single,secondary,no,800,no,no,telephone,28,jan,60,2,-1,0,unknown
13976,36,blue-collar,married,secondary,no,576,yes,no,cellular,10,jul,290,2,-1,0,unknown
37719,30,technician,married,secondary,no,0,yes,no,cellular,14,may,47,3,-1,0,unknown
18822,50,unemployed,married,secondary,no,297,yes,no,cellular,31,jul,29,10,-1,0,unknown
7345,39,blue-collar,single,secondary,no,885,yes,no,unknown,29,may,70,7,-1,0,unknown
27209,36,entrepreneur,married,secondary,yes,1,yes,no,cellular,21,nov,203,1,-1,0,unknown
3870,27,management,single,tertiary,no,-98,yes,yes,unknown,16,may,344,2,-1,0,unknown
43824,59,retired,married,primary,no,4007,no,no,cellular,28,may,581,3,63,6,failure
25178,52,blue-collar,married,tertiary,no,297,yes,no,cellular,18,nov,62,2,195,1,failure
22487,30,technician,married,tertiary,no,296,no,no,cellular,22,aug,1809,5,-1,0,unknown
16823,49,management,single,tertiary,no,2555,no,yes,cellular,24,jul,263,2,-1,0,unknown
720,38,admin.,married,secondary,no,3047,yes,no,unknown,6,may,285,2,-1,0,unknown
20649,59,retired,married,secondary,no,278,no,no,cellular,12,aug,141,3,-1,0,unknown
5723,43,technician,married,secondary,no,-1701,yes,no,unknown,26,may,285,1,-1,0,unknown
30214,38,management,single,tertiary,no,1819,no,no,cellular,5,feb,101,3,-1,0,unknown
5357,32,technician,married,secondary,no,3155,yes,no,unknown,23,may,99,3,-1,0,unknown
5420,30,blue-collar,married,secondary,no,282,yes,yes,unknown,23,may,148,2,-1,0,unknown
28607,32,blue-collar,married,secondary,no,-460,yes,yes,cellular,29,jan,131,2,206,6,other
2799,40,blue-collar,married,secondary,no,30,yes,no,unknown,14,may,168,3,-1,0,unknown
40420,30,management,single,tertiary,no,536,no,no,cellular,2,jul,309,1,-1,0,unknown
44698,33,blue-collar,single,secondary,no,329,no,no,cellular,6,sep,224,1,145,2,other
22563,41,technician,married,secondary,no,65,no,no,cellular,22,aug,157,1,-1,0,unknown
9519,50,blue-collar,married,secondary,no,464,no,yes,unknown,6,jun,426,2,-1,0,unknown
42903,33,technician,single,tertiary,no,696,no,yes,cellular,5,feb,193,1,176,8,failure
33189,51,blue-collar,married,primary,no,14,yes,yes,cellular,20,apr,233,2,329,1,failure
32604,34,blue-collar,married,primary,no,329,yes,no,cellular,17,apr,952,1,343,1,failure
43088,59,unemployed,divorced,secondary,no,7469,no,no,cellular,22,feb,287,1,130,1,failure
27773,51,retired,married,secondary,no,965,yes,no,cellular,28,jan,67,1,-1,0,unknown
15018,26,blue-collar,married,secondary,no,-11,yes,yes,cellular,17,jul,1150,3,-1,0,unknown
27991,33,technician,single,secondary,no,0,yes,no,cellular,28,jan,191,2,-1,0,unknown
21980,40,technician,single,secondary,no,2244,no,yes,cellular,20,aug,58,2,-1,0,unknown
39238,35,management,single,tertiary,no,9336,yes,no,cellular,18,may,311,2,-1,0,unknown
40343,38,self-employed,single,tertiary,no,605,no,no,telephone,18,jun,1603,10,-1,0,unknown
36542,41,blue-collar,married,primary,no,254,yes,no,cellular,12,may,25,1,309,3,failure
12897,25,services,single,secondary,no,111,no,yes,cellular,7,jul,316,1,-1,0,unknown
34781,38,technician,single,secondary,no,1019,yes,no,cellular,6,may,249,1,-1,0,unknown
5030,28,management,married,tertiary,no,395,no,no,unknown,21,may,178,1,-1,0,unknown
30468,55,technician,married,secondary,no,956,yes,yes,cellular,5,feb,116,4,-1,0,unknown
31645,39,management,single,tertiary,no,2651,no,no,cellular,6,apr,139,2,136,5,other
43949,36,admin.,married,secondary,no,1031,no,no,cellular,17,jun,282,4,-1,0,unknown
37482,38,technician,single,tertiary,no,69,yes,no,cellular,13,may,253,3,-1,0,unknown
27319,39,management,married,tertiary,no,20932,no,no,cellular,21,nov,127,2,-1,0,unknown
9757,34,housemaid,married,tertiary,no,5011,yes,no,unknown,9,jun,311,2,-1,0,unknown
19208,42,management,married,tertiary,no,0,no,no,cellular,6,aug,81,3,-1,0,unknown
13326,32,management,single,tertiary,no,191,no,no,cellular,8,jul,141,4,-1,0,unknown
39364,46,management,single,tertiary,no,6651,no,no,cellular,22,may,114,1,60,1,failure
33434,32,admin.,single,secondary,no,299,yes,no,cellular,20,apr,177,2,348,2,failure
24116,39,blue-collar,married,secondary,no,1307,yes,no,telephone,31,oct,158,1,-1,0,unknown
43255,34,management,married,tertiary,no,158,no,no,cellular,9,mar,212,3,181,6,success
44815,61,housemaid,married,primary,no,2580,no,no,cellular,16,sep,270,3,202,7,other
4931,27,blue-collar,single,secondary,no,0,yes,no,unknown,21,may,504,1,-1,0,unknown
12012,36,blue-collar,married,secondary,no,1132,yes,yes,unknown,20,jun,258,2,-1,0,unknown
23416,37,housemaid,single,tertiary,no,206,no,no,cellular,27,aug,115,5,-1,0,unknown
40286,35,services,single,secondary,no,1701,yes,no,cellular,15,jun,175,1,67,3,other
8160,35,technician,married,secondary,no,1707,yes,no,unknown,2,jun,426,3,-1,0,unknown
1747,31,management,single,secondary,no,453,yes,no,unknown,9,may,384,2,-1,0,unknown
26687,31,services,single,secondary,no,1987,yes,no,telephone,20,nov,55,2,-1,0,unknown
5439,32,admin.,married,secondary,no,0,no,no,unknown,23,may,206,3,-1,0,unknown
25672,34,admin.,single,tertiary,no,3092,no,no,cellular,19,nov,115,1,-1,0,unknown
30587,28,unemployed,single,tertiary,no,0,no,no,cellular,6,feb,15,9,-1,0,unknown
40624,62,retired,married,secondary,no,3340,no,no,cellular,4,aug,259,1,35,1,failure
13524,35,management,divorced,tertiary,no,6997,yes,no,cellular,9,jul,1121,1,-1,0,unknown
11861,36,management,divorced,tertiary,no,0,no,no,unknown,20,jun,519,2,-1,0,unknown
18837,36,management,married,tertiary,no,0,no,yes,cellular,4,aug,89,1,-1,0,unknown
35570,32,admin.,single,secondary,no,626,yes,no,cellular,7,may,324,2,351,1,failure
5970,47,blue-collar,married,secondary,yes,-614,yes,no,unknown,26,may,118,2,-1,0,unknown
29195,40,services,divorced,secondary,no,687,yes,no,cellular,2,feb,531,1,208,1,success
1532,41,management,single,tertiary,no,572,yes,no,unknown,8,may,8,2,-1,0,unknown
29144,37,management,married,secondary,no,10,no,yes,cellular,2,feb,164,1,250,2,failure
31347,57,blue-collar,married,primary,no,1610,no,no,telephone,16,mar,147,1,-1,0,unknown
39183,36,technician,single,secondary,no,23,yes,no,cellular,18,may,69,2,333,2,failure
41087,41,admin.,divorced,secondary,no,220,yes,no,cellular,14,aug,142,2,88,2,failure
26280,35,services,single,secondary,no,5551,yes,no,cellular,20,nov,258,1,-1,0,unknown
37054,49,entrepreneur,single,secondary,no,259,no,no,cellular,13,may,149,1,-1,0,unknown
5135,32,blue-collar,married,secondary,no,43,yes,no,unknown,21,may,173,2,-1,0,unknown
15685,34,technician,single,secondary,no,5731,yes,no,cellular,21,jul,101,3,-1,0,unknown
28522,55,technician,married,unknown,no,574,yes,no,cellular,29,jan,243,2,-1,0,unknown
43859,29,blue-collar,married,secondary,no,3310,no,no,cellular,2,jun,344,2,117,2,failure
26886,34,management,married,tertiary,no,19391,no,no,cellular,20,nov,391,2,-1,0,unknown
20186,30,management,single,tertiary,no,2123,no,no,cellular,11,aug,217,2,-1,0,unknown
39866,26,technician,married,secondary,no,915,no,no,cellular,2,jun,384,1,-1,0,unknown
21261,51,technician,divorced,secondary,no,2323,yes,yes,cellular,18,aug,151,10,-1,0,unknown
24452,54,services,divorced,secondary,no,2398,yes,no,cellular,17,nov,73,1,-1,0,unknown
8518,51,self-employed,divorced,secondary,no,1291,yes,no,unknown,3,jun,51,2,-1,0,unknown
29171,31,services,single,secondary,no,125,no,no,cellular,2,feb,360,1,-1,0,unknown
5043,30,services,married,secondary,no,702,yes,no,unknown,21,may,573,1,-1,0,unknown
30255,36,blue-collar,single,secondary,no,767,no,no,cellular,5,feb,77,1,-1,0,unknown
478,31,management,single,secondary,no,301,yes,no,unknown,6,may,82,1,-1,0,unknown
32764,33,technician,married,secondary,no,5833,yes,no,cellular,17,apr,57,1,-1,0,unknown
29423,60,retired,married,secondary,no,0,no,no,cellular,3,feb,149,1,-1,0,unknown
13607,45,blue-collar,married,primary,no,942,no,yes,cellular,9,jul,295,1,-1,0,unknown
24844,37,technician,married,secondary,no,0,yes,no,cellular,18,nov,173,1,179,6,failure
2003,35,management,single,tertiary,no,123,yes,no,unknown,9,may,83,3,-1,0,unknown
9654,38,blue-collar,married,secondary,no,1434,no,no,unknown,6,jun,396,4,-1,0,unknown
31418,45,management,married,unknown,no,2466,no,no,telephone,27,mar,124,1,-1,0,unknown
27119,43,management,married,tertiary,no,2100,yes,no,cellular,21,nov,105,1,-1,0,unknown
7844,38,services,married,secondary,no,-762,yes,yes,unknown,30,may,408,2,-1,0,unknown
16272,56,retired,divorced,tertiary,no,2370,no,no,cellular,23,jul,376,1,-1,0,unknown
24178,35,unemployed,single,secondary,no,127,yes,no,telephone,14,nov,162,1,-1,0,unknown
13800,45,entrepreneur,married,unknown,no,3133,yes,yes,cellular,10,jul,804,1,-1,0,unknown
38570,38,self-employed,single,tertiary,no,5774,yes,no,cellular,15,may,406,4,359,5,other
12249,29,blue-collar,married,secondary,no,1661,yes,no,unknown,23,jun,123,2,-1,0,unknown
9846,53,management,married,primary,no,2096,no,no,unknown,9,jun,104,1,-1,0,unknown
43244,64,unemployed,divorced,secondary,no,588,no,no,cellular,8,mar,409,1,-1,0,unknown
24457,32,blue-collar,single,primary,no,1918,yes,no,cellular,17,nov,321,1,-1,0,unknown
9681,53,retired,married,primary,no,17,no,yes,unknown,6,jun,104,2,-1,0,unknown
446,51,admin.,divorced,secondary,no,228,yes,no,unknown,6,may,136,1,-1,0,unknown
32326,30,blue-collar,single,secondary,no,445,yes,no,cellular,16,apr,218,1,330,2,failure
30105,29,admin.,single,secondary,no,260,yes,no,cellular,4,feb,453,2,273,2,failure
5725,37,admin.,married,secondary,no,-255,yes,no,unknown,26,may,96,2,-1,0,unknown
34051,34,self-employed,single,tertiary,no,5462,no,no,cellular,30,apr,430,1,-1,0,unknown
43346,29,self-employed,single,tertiary,no,3290,no,no,cellular,23,mar,136,1,291,2,success
43574,55,housemaid,married,secondary,no,962,yes,no,cellular,28,apr,623,1,181,3,success
27947,35,self-employed,single,tertiary,no,4213,no,no,cellular,28,jan,203,1,-1,0,unknown
14411,41,services,divorced,secondary,no,0,no,no,cellular,14,jul,93,3,-1,0,unknown
4486,35,admin.,married,secondary,no,2137,yes,no,unknown,20,may,124,1,-1,0,unknown
25082,31,blue-collar,married,secondary,no,5345,yes,no,cellular,18,nov,260,1,-1,0,unknown
15027,36,management,married,tertiary,no,-633,yes,no,cellular,17,jul,106,1,-1,0,unknown
10447,55,housemaid,divorced,primary,no,0,no,no,unknown,12,jun,90,8,-1,0,unknown
182,35,technician,divorced,secondary,no,787,yes,no,unknown,5,may,683,2,-1,0,unknown
13358,33,management,married,tertiary,no,6,yes,no,cellular,8,jul,1111,1,-1,0,unknown
33229,37,admin.,married,secondary,no,756,yes,no,cellular,20,apr,207,2,-1,0,unknown
14064,31,entrepreneur,married,tertiary,no,0,yes,yes,cellular,11,jul,151,2,-1,0,unknown
1198,51,management,married,primary,yes,57,yes,yes,unknown,8,may,61,1,-1,0,unknown
7047,43,blue-collar,married,primary,no,50,no,no,unknown,28,may,90,8,-1,0,unknown
23700,30,technician,married,tertiary,no,81,no,no,cellular,28,aug,51,1,-1,0,unknown
41547,27,student,single,tertiary,no,-148,yes,no,cellular,11,sep,146,3,224,1,other
27250,57,technician,married,secondary,no,29207,yes,no,telephone,21,nov,232,2,-1,0,unknown
1772,31,services,divorced,secondary,no,1656,yes,no,unknown,9,may,208,3,-1,0,unknown
26733,33,admin.,single,secondary,no,2548,yes,no,cellular,20,nov,179,2,-1,0,unknown
23970,46,technician,divorced,secondary,no,117,no,no,cellular,29,aug,94,2,-1,0,unknown
9504,41,housemaid,single,primary,no,21,no,no,unknown,6,jun,264,1,-1,0,unknown
6645,32,technician,married,tertiary,no,-196,yes,no,unknown,28,may,163,1,-1,0,unknown
41808,62,services,married,primary,no,276,no,no,cellular,14,oct,80,2,-1,0,unknown
16403,39,management,married,secondary,no,6012,no,no,telephone,23,jul,383,2,-1,0,unknown
11865,41,self-employed,divorced,tertiary,no,-319,no,no,unknown,20,jun,263,3,-1,0,unknown
6577,29,management,married,tertiary,no,-218,yes,no,unknown,28,may,121,1,-1,0,unknown
35451,27,management,single,tertiary,no,405,yes,no,cellular,7,may,129,2,-1,0,unknown
19013,60,blue-collar,married,secondary,no,2879,yes,no,cellular,5,aug,122,1,-1,0,unknown
44948,55,admin.,divorced,secondary,no,0,yes,yes,cellular,7,oct,122,1,245,4,failure
23205,59,retired,married,secondary,no,2396,no,no,cellular,27,aug,1040,6,-1,0,unknown
20933,34,technician,married,secondary,no,2959,no,no,cellular,13,aug,413,5,-1,0,unknown
13872,34,blue-collar,single,secondary,no,0,yes,no,cellular,10,jul,307,1,-1,0,unknown
22151,57,technician,divorced,tertiary,no,96,no,no,cellular,21,aug,913,4,-1,0,unknown
5060,29,blue-collar,single,secondary,no,445,yes,no,unknown,21,may,139,2,-1,0,unknown
43986,37,admin.,single,secondary,no,16,no,no,unknown,24,jun,11,1,-1,0,unknown
38428,36,admin.,married,secondary,no,1479,no,no,cellular,15,may,65,2,-1,0,unknown
6285,32,admin.,married,secondary,no,-370,yes,no,unknown,27,may,98,1,-1,0,unknown
31498,34,admin.,married,secondary,no,1474,no,no,cellular,2,apr,739,2,-1,0,unknown
3132,49,blue-collar,married,secondary,no,2631,yes,no,unknown,14,may,76,2,-1,0,unknown
18662,35,blue-collar,married,secondary,no,-172,yes,no,cellular,31,jul,14,32,-1,0,unknown
7481,30,blue-collar,married,secondary,no,486,yes,no,unknown,29,may,1109,3,-1,0,unknown
37641,44,management,married,unknown,no,415,yes,no,telephone,14,may,7,7,-1,0,unknown
39128,34,entrepreneur,single,tertiary,no,1068,yes,no,cellular,18,may,46,6,378,2,failure
31749,43,blue-collar,married,secondary,no,1617,yes,no,cellular,7,apr,239,1,-1,0,unknown
27706,49,admin.,single,secondary,no,981,yes,no,telephone,21,nov,10,3,-1,0,unknown
20243,53,housemaid,married,primary,no,1869,no,no,cellular,11,aug,102,4,-1,0,unknown
41228,65,retired,married,secondary,no,2326,no,yes,cellular,21,aug,276,1,-1,0,unknown
16277,30,technician,married,tertiary,no,0,yes,yes,cellular,23,jul,232,1,-1,0,unknown
1623,32,blue-collar,married,secondary,no,536,yes,no,unknown,9,may,208,2,-1,0,unknown
39236,34,admin.,married,secondary,no,393,yes,no,cellular,18,may,222,4,355,1,failure
28643,46,management,divorced,tertiary,no,-154,yes,yes,cellular,29,jan,150,2,247,2,failure
3356,55,blue-collar,married,primary,no,158,yes,no,unknown,15,may,176,18,-1,0,unknown
35457,45,blue-collar,married,secondary,no,54,yes,no,cellular,7,may,279,1,367,1,failure
39188,29,management,single,tertiary,no,2637,yes,no,cellular,18,may,179,3,-1,0,unknown
14893,32,management,single,tertiary,no,1010,yes,no,cellular,16,jul,924,1,-1,0,unknown
10038,39,management,married,primary,no,0,no,no,unknown,11,jun,308,7,-1,0,unknown
30681,39,technician,married,unknown,no,195,no,no,cellular,6,feb,74,2,-1,0,unknown
20593,47,management,married,tertiary,no,434,no,no,cellular,12,aug,111,4,-1,0,unknown
5634,35,blue-collar,married,secondary,no,0,yes,no,unknown,23,may,100,4,-1,0,unknown
6142,53,technician,married,secondary,no,-725,yes,no,unknown,27,may,1205,1,-1,0,unknown
38305,29,management,single,tertiary,no,499,yes,no,cellular,15,may,338,1,-1,0,unknown
24560,38,blue-collar,single,secondary,no,1012,yes,yes,telephone,17,nov,69,1,-1,0,unknown
7674,36,housemaid,married,secondary,no,419,yes,no,unknown,30,may,251,1,-1,0,unknown
41398,63,retired,married,secondary,no,4752,no,no,cellular,2,sep,233,2,-1,0,unknown
29891,26,student,single,secondary,no,334,no,no,telephone,4,feb,46,1,-1,0,unknown
22308,46,blue-collar,married,primary,no,278,no,no,cellular,21,aug,153,3,-1,0,unknown
40780,30,management,single,tertiary,no,697,no,no,cellular,10,aug,179,3,102,2,success
3432,28,blue-collar,single,primary,no,-457,yes,no,unknown,15,may,43,9,-1,0,unknown
37447,36,management,divorced,tertiary,no,-978,yes,no,cellular,13,may,62,3,-1,0,unknown
6500,39,management,married,tertiary,no,-342,yes,no,unknown,27,may,110,2,-1,0,unknown
35866,40,blue-collar,married,secondary,no,280,yes,no,cellular,8,may,435,2,340,3,failure
24953,45,unemployed,divorced,secondary,no,728,yes,yes,cellular,18,nov,107,1,-1,0,unknown
23792,37,management,married,tertiary,no,4293,yes,no,cellular,29,aug,150,2,-1,0,unknown
6876,33,technician,divorced,tertiary,no,839,yes,no,unknown,28,may,469,3,-1,0,unknown
37554,40,blue-collar,single,primary,no,2226,yes,no,telephone,14,may,7,7,-1,0,unknown
23512,37,management,married,tertiary,no,839,no,yes,cellular,28,aug,87,11,-1,0,unknown
18366,27,blue-collar,single,secondary,no,677,no,yes,telephone,31,jul,110,8,-1,0,unknown
17896,58,retired,married,secondary,no,901,yes,yes,cellular,30,jul,235,2,-1,0,unknown
34811,33,admin.,married,tertiary,no,281,yes,no,cellular,6,may,257,1,365,1,failure
18642,53,services,married,secondary,no,514,yes,no,cellular,31,jul,10,3,-1,0,unknown
7718,42,entrepreneur,married,tertiary,no,287,yes,yes,unknown,30,may,83,2,-1,0,unknown
6124,48,blue-collar,married,secondary,no,653,yes,no,unknown,27,may,24,1,-1,0,unknown
37835,34,admin.,married,secondary,no,774,yes,yes,cellular,14,may,163,1,175,6,other
38087,29,blue-collar,married,secondary,no,59,yes,yes,cellular,14,may,100,3,356,2,failure
42845,30,technician,single,tertiary,no,4060,no,no,cellular,3,feb,179,1,93,1,other
